,title,company,salary,location,company_rating,description
0,Data Scientist,Federal Reserve Bank of Boston,,Remote,4.3,
1,Data Scientist (Remote),Aimpoint Digital,,"Remote in New York, NY+3 locations",,
2,Data Scientist- RAFP,Government of the District of Columbia,"$89,457 - $115,262 a year","Washington, DC 20005 (Downtown area)+1 location",3.6,
3,Data Scientist,Northwestern Medicine,,"Chicago, IL 60611 (Near North Side area)+1 location",3.9,
4,Crypto Data Scientist (Analytics),PayPal,,"New York, NY 10014 (West Village area)+10 locations",3.9,
5,Data Scientist 1,Techtronic Industries (TTI),,"Anderson, SC",3.6,
6,Data Scientist,Lime,"$98,000 a year",Remote,3.3,
7,Data Scientist,PepsiCo,,"Plano, TX+4 locations",3.8,
8,Data Scientist,BitSight,,"Remote in Boston, MA+3 locations",,
9,Data Scientist,Bunge,,"Chesterfield, MO 63017",4.1,
10,Data Scientist - Global Decision Science,Amex,,"New York, NY+4 locations",4.1,
11,Data Scientist,Neiman Marcus,,"Dallas, TX 75039",3.6,
12,Data Scientist,Petco,,"Remote in San Diego, CA+5 locations",3.3,
13,Data Scientist I (CNN +),WarnerMedia,,"New York, NY+6 locations",3.8,
14,Junior Data Scientist,ANALYTOS,,"Austin, TX",,
15,Data Science Engineer (Entry Level),Kernel,,"Culver City, CA 90232",4.0,
16,Principal Data Scientist,Verizon,"$108,000 - $200,000 a year",Remote in Colorado+18 locations,3.9,
17,"Senior Data Scientist, Recommendation",TikTok,,"Mountain View, CA 94041 (Old Mountain View area)+8 locations",3.5,
18,Machine Learning Data Scientist,Ascension,,"Hybrid remote in Chicago, IL+2 locations",3.6,
19,Data Scientist,FocusKPI Inc.,,"San Bruno, CA",,
20,"Data Scientist, Business Intelligence",Jumio Corporation,,"Remote in Palo Alto, CA+1 location",,
21,Data Scientist,"Vital Connect, Inc.",,"San Jose, CA",,
22,"Data Science, Learner Assistant",Bloom Institute of Technology,,+1 locationRemote,,
23,People Services Data Scientist,General Motors,,+8 locationsRemote,4.0,
24,Senior Data Scientist,Amazon.com Services LLC,,+84 locationsRemote,3.5,
25,Environmental Data Scientist,Abt JTA,,"Rockville, MD+1 location",,
26,Data Scientist,"iHeartMedia, Inc.",,"San Antonio, TX 78258+1 location",3.6,
27,NLP Data Scientist,EQRX,,"Cambridge, MA+1 location",,
28,Junior Data Scientist,Dark Wolf Solutions,,"McLean, VA",,
29,Machine Learning Data Scientist,Ascension,,"Hybrid remote in Chicago, IL",3.6,
30,"AI/ML - Machine Learning R&D Scientist, Machine Translation",Apple,,"Cupertino, CA+2 locations",4.2,
31,Data Scientist,M/A Com Technolgy Solutions,,"Lowell, MA",,
32,Applied Machine Learning Scientist,Microsoft,,"Bellevue, WA+12 locations",4.2,
33,"Remote - Senior Data Scientist, Marketing & Customer",Toyota,,"Remote in Plano, TX",4.0,
34,Data Scientist,Auryc,,"Los Altos, CA 94022",,
35,Data Scientist II,GCI,,Alaska,4.0,
36,Lead Data Scientist-CtoH-Remote,Nelson Interactive,,Remote,,
37,"Data Scientist, Skills Product Platform - 100% Remote (US)",Pluralsight,,"Remote in Atlanta, GA",4.0,
38,Data Scientist,DataDog,,"New York, NY",4.0,
39,Senior Data Scientist,Equifax,,"Atlanta, GA 30309 (Midtown area)+2 locations",3.5,
40,Data Scientist,Sift Media,,"Durham, NC",,
41,Data Scientist,Chewy,,"Dania Beach, FL 33004+18 locations",2.7,
42,"Staff Data Scientist (Applied Science), Education",Chan Zuckerberg Initiative,,Remote in California+1 location,4.8,
43,Principal Data Scientist - Analytics and Visualization Speci...,Yakima Valley Memorial,,"Yakima, WA 98902",4.0,
44,"Data Scientist, Marketing Data",Squarespace,,"New York, NY 10014 (West Village area)",4.4,
45,Junior Scientist- Data Analyst,ChampionX,,"Boulder, CO",3.0,
46,Senior Data Scientist,Tomo Credit,,"San Francisco, CA 94105 (Financial District area)",,
47,Data Scientist,Houston Methodist,,"Houston, TX",4.2,
48,Machine Learning Engineer/Data Scientist - Enterprise Analyt...,UNC Health,,"Morrisville, NC 27560",3.9,
49,Decision Scientist,WellStar Health System Inc,,"Marietta, GA 30067",3.7,
50,Data Scientist (Junior),Allen Integrated Solutions,,"Springfield, VA",,
51,Senior Data Scientist - Work from home-Evernorth,Cigna,"$95,800 - $159,600 a year","Hartford, CT 06152 (Frog Hollow area)+1 location",3.7,
52,Research Scientist-Center for Data Science,New York University,,"New York, NY 10012 (Greenwich Village area)+2 locations",4.2,
53,Data Scientist,Scripps Health,,"San Diego, CA 92121 (Sorrento Valley area)",4.0,
54,Senior Data Scientist,Xaxis,,"New York, NY 10007 (Financial District area)",3.5,
55,Statistical Data Analyst,University of South Florida,"$51,500 - $65,000 a year","Tampa, FL 33620 (Terrace Park area)",4.2,
56,Data Scientist Intermediate (work from home United States),Geisinger,,"Remote in Danville, PA+1 location",3.5,
57,Data Scientist,Hyperspace Ventures,,"Durham, NC",,
58,Data Scientist,MedPro Group,"$80,000 - $120,000 a year",+2 locationsRemote,3.3,
59,Data Scientist,BRMi,,"Vienna, VA 22180",4.3,
60,"Administrative Assistant, Decision Science",The Walt Disney Company (Corporate),,"Orlando, FL",4.1,
61,Senior Data & Machine Learning Scientist - Remote,WALGREENS,,"Remote in Chicago, IL+2 locations",3.5,
62,"RESEARCH FELLOW, DATA SCIENTIST, Antiracist Tech Initiative...",Boston University,,"Boston, MA 02215 (Kenmore area)",4.1,
63,Data Scientist (Senior),SOSi,,"Fort Bragg, NC",3.6,
64,"Staff Applied Scientist, Conversational Intelligence",Outreach,,"Seattle, WA",4.0,
65,Global Data Scientist II,Compassion,"$68,700 - $85,875 a year",+1 locationRemote,4.3,
66,"Data Scientist - Boston, MA",iknowvate technologies,,"Boston, MA+2 locations",,
