,title,company,salary,location,company_rating,description
0,Junior Data Scientist (NYC or Remote),ViacomCBS,,"Remote in New York, NY+1 location",3.9,"ViacomCBS (NASDAQ:
VIAC; VIACA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic consumer brands, its portfolio includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. The company delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, ViacomCBS provides powerful capabilities in production, distribution and advertising solutions for partners on five continents.
Are you passionate about using data to help drive insights in media and entertainment? ViacomCBS is looking for a Jr. Data Scientist who is excited work on some of the hottest topics in media technology today: big data, data visualization, modeling, machine learning, and most importantly, the translation of data into new products, tools, and insights. Come join the Data & Decision Sciences Group - a team of data scientists, data engineers, and full stack developers who are using the latest technology to understand our content and audiences. Our ideal candidate is a motivated data scientist who is excited to support ViacomCBS's data strategy by helping to build products for researchers across our core brands including CBS, Nickelodeon, MTV, Comedy Central, Paramount, VH1, BET, Pluto TV, and more!
You will work with a wide range of data sets (metered measurement data, syndicated data, survey data, streaming platform data) to mine, analyze, forecast, segment, predict, and ultimately drive insights and build new data delivery tools. You will also gain media industry experience by understanding both ViacomCBS's business needs and existing data assets in order to connect the dots and build innovative and interactive data solutions. Example projects include but are not limited to:
Developing products and tools that allow for easier access to all data and flexible and real time reporting.
Aggregating viewing data to create predictive models for audience growth, programming opportunity, and optimal marketing plans.
Creating data maps and taxonomies from disparate data sets and the development of standardized KPIs/metrics for insights.
Crafting processes and techniques to effectively fuse custom survey data sets to viewing as well as fusing different measurement data sets together.
Construction of data pipelines and architecture to keep our products available and accurate for our stakeholders. Qualifications:
Qualifications:
Interest in one the following:
data science, statistics, big data, research (survey and measurement-based), data platform architecture, BI, data visualization, and data automation.
B.A. / B.S. (M.S. or Ph.D. is a plus) in Statistics, Computer Science, Mathematics, Social Sciences, Physics, Computational Biology, Sociology, Cognitive Science, or another quantitative field.
Expertise in Python, R or SQL.
Experience with statistical techniques, modeling, and machine learning.
Interest in creating, building, and architecting data dashboards and platforms in cloud environments.
ViacomCBS is an equal opportunity employer (EOE) including disability/vet.
At ViacomCBS, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. ViacomCBS is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.
If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.viacomcbs.com/careers as a result of your disability. You can request reasonable accommodations by calling
212.846.5500
or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned."
1,"Associate Data Scientist, Content Analytics",Spotify,,Remote in Oregon+12 locations,4.3,"Data, Research & Insights
Data Science
Spotify’s mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 345 million users. We are looking for an outstanding Data Scientist to join the band and support our Music and Talk organizations, driving data-informed decisions related to the curation and distribution of both music and podcast content.
Location
United States of America (Home Mix) or Remote Americas
Job type
Permanent
What you'll do
Perform analyses on large sets of data to extract impactful insights that will drive decisions, with a particular focus on music and/or podcast recommendations and content performance.
Engineer novel data sets, features and reports that shed a new light on the dynamics of audio listening.
Craft high impact presentations for senior management and creative professionals at Spotify.
Evaluate Spotify’s ecosystem of content recommendations and build compelling data visualization tools to move it forward.
Analyze A/B tests and form hypotheses for product improvements in how content reaches listeners.
Model statistical predictions to surface growing artists, genres and music trends, so as to inform prioritization in and around Spotify’s Music organization.
Communicate data-driven insights and recommendations to non-technical audiences, through clear visualizations and data storytelling.
Who you are
You have a degree in a quantitative field, such as Computer Science/Engineering, Mathematics, Statistics, Economics; advanced degree is desirable.
2+ years of relevant experience analyzing sophisticated data with SQL, Python, and/or R.
You are passionate about music/podcasts and popular culture. Previous experience with Content is a preference. Other media, entertainment, or technology experience is also highly valued.
You are a natural communicator. You focus just as much on how you deliver your findings, as you do on the technical craft of uncovering new insights.
Experience building data visualizations and dashboards (e.g., Tableau or similar BI solution).
Modeling and statistical knowledge, such as forecasting, AB-testing, or feature engineering for machine learning is a plus.
Experience creating and scheduling datasets is highly valued. Knowledge of Google’s BigQuery, or DBT is a plus.
Where you'll be
We are a distributed workforce enabling our band members to find a work mode best for them!
Where in the world? For this role, it can be within the Americas region in which we have a work location
Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about our Work From Anywhere options here.
Working hours? We operate within the Eastern Standard time zone for collaboration
Our global benefits
Extensive learning opportunities, through our dedicated team, GreenHouse.
Flexible share incentives letting you choose how you share in our success.
Global parental leave, six months off - fully paid - for all new parents.
All The Feels, our employee assistance program and self-care hub.
Flexible public holidays, swap days off according to your values and beliefs.
Spotify On Tour, join your colleagues on trips to industry festivals and events.
Learn about life at Spotify
Spotify is an equal opportunity employer. You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be forward-thinking! So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.
Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate about these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 381 million users.
Global COVID and Vaccination Disclosure
Spotify is committed to safety and well-being of our employees, vendors and clients. We are following regional guidelines mandating vaccination and testing requirements, including those requiring vaccinations and testing for in-person roles and event attendance. For the US, we have mandated that all employees and contractors be fully vaccinated in order to work in our offices and externally with any third-parties. For all other locations, we strongly encourage our employees to get vaccinated and also follow local COVID and safety protocols.
This position is not eligible to be performed in Colorado."
2,"Data Scientist, TikTok Creation and Consumption",TikTok,,"San Francisco, CA+34 locations",3.5,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.
We are looking for seasoned data scientists with strong analytics background that can help drive informed business decisions for TikTok. You will be tasked to work on our core products for the TikTok Content Creation and Consumption team which includes content creation, consumption, open platform, and foundation.
You'll have the opportunity to work with large-scale data sets and turn your insights into real products. You'll be an integral part in how we understand user behavior, identify and recommend product opportunities, which are all critical to how we can scale our ever-growing user base within the TikTok community. You will also partner closely with our product and engineering teams in a high-impact and fast-paced environment.
As a Data Scientist for our TikTok Creation and Consumption team, you will:
Conduct quantitative analysis on specific areas around content creation and consumption, identify product opportunities, and further provide optimization suggestions.
Work with the product and engineering team to size the potential impact of ""problems-to-solve"" for our business.
Develop comprehensive product metrics and quantitative measurement structure based on product stages and business purposes.
Measure and visualize the effectiveness of product updates.
3+ years of industry experience in data science, conducting quantitative analysis and implementing data science solutions
BA/BS in Computer Science, Math, Physics, Engineering, Statistics, or other technical fields. Advanced degrees preferred.
Fluency in SQL or other programming languages. Some development experience in at least one scripting language (PHP, Python, Perl, etc.).
Ability to initiate and drive projects to completion with minimal guidance.
The ability to communicate the results of analyses in a clear and effective manner.
Basic understanding of statistical analysis.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.
TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com"
3,"Data Scientist, Game Analytics & Strategy",the NBA,,"New York, NY 10022 (Midtown area)+1 location",4.2,"At the NBA, we’re passionate about growing and celebrating the game of basketball. Through the intensity of the game and the amazing athletic skill of our players, we deliver excitement to hundreds of millions of fans around the world. As a global sports and media business, the NBA is so much more. While Basketball Operations runs the league’s on-court activities, other departments manage relationships with television and digital media partners, develop marketing partnerships with some of the world’s most recognizable companies, oversee the licensing of NBA merchandise, and handle a wide range of responsibilities that drive the NBA’s success.
The NBA is committed to providing a safe and healthy workplace. To safeguard our employees and their families, our visitors and the broader community from COVID-19, and in consideration of recommendations from health authorities and the NBA’s own advisors, any individual working onsite in our New York and New Jersey offices must be fully vaccinated against COVID-19. The NBA will discuss accommodations for individuals who cannot be vaccinated due to a medical reason or sincerely held religious belief, practice, or observance.
Position Summary:
At the NBA, we're passionate about growing and celebrating the game of basketball. Through the intensity of the game and the amazing athletic skill of our players, we deliver excitement to hundreds of millions of fans around the world. As a global sports and media business, the NBA is so much more. While Basketball Operations runs the league's on-court activities, other departments manage relationships with television and digital media partners, develop marketing partnerships with some of the world's most recognizable companies, oversee the licensing of NBA merchandise, and handle a wide range of responsibilities that drive the NBA's success. The Data Scientist will support the Senior Vice President, Game Analytics & Strategy in analyzing, maintaining, and presenting data to support various decisions. This role also will assist in selecting new initiatives and executing long-term projects aligned with the goals of the Game Analytics & Strategy group. You will be responsible for designing and performing rigorous statistical analysis and visualizations in support of league operations decision-making; focusing on referee performance, rule changes, game play and any other questions related to cross-departmental initiatives when needed, such as player health and performance.
Major Responsibility:
Generate ideas and innovate analytics to support the Game Analytics & Strategy group
Responsibilities include, among other things, collaborating on research for both ongoing and case- by-case studies, planning and/or conducting statistical analysis, developing material for internal and external dissemination, and presenting research findings
Perform exploratory analysis of new data sources to assess data quality and applicability in decision-making
Produce stats-based reporting
Craft professional-looking presentations and reports to effectively communicate statistical findings
Help design procedures to maintain data integrity
Required Skills/Knowledge:
Experienced understanding of advanced methods used to analyze basketball statistics
A real passion for analytical work in sports. Ability to maintain the highest level of confidentiality
Applied knowledge of statistical regression methods
Supervised and unsupervised learning techniques in machine learning (e.g. dimensionality reduction and clustering)
Experience with a database management language (e.g. SQL) as well as scripting languages (e.g. R or Python)
Experience working with data visualization tools (e.g. Shiny or Tableau)
Experience deploying and maintaining projects in production
Ability to work independently, effectively and efficiently with high-levels of curiosity and detail
Excellent technical writer and communicator with an eye for detail
Handle changing priorities in a dynamic, fast-paced environment
Creative and innovative thinker with excellent written, and interpersonal skills
Preferable: minimum of 3 - 5 years of professional work experience in a business environment, ideally in roles that have relied heavily on technical, communication and presentation skills, or commensurate experience (i.e. graduate level work, particularly in statistics or computer science)
Education:
Bachelor's Degree Required; Major in Mathematics, Statistics, Econometrics or related discipline or Master's Degree are preferred
We Consider Applicants For All Positions On The Basis Of Merit, Qualifications And Business Needs, And Without Regard To Race, Color, National Origin, Religion, Sex, Gender Identity, Age, Disability, Alienage Or Citizenship Status, Ancestry, Marital Status, Creed, Genetic Predisposition Or Carrier Status, Sexual Orientation, Veteran Status, Familial Status, Status As A Victim Of Domestic Violence Or Any Other Status Or Characteristic Protected By Applicable Federal, State, Or Local Law."
4,Data Scientist and Analytics Specialist,Delta,,"Atlanta, GA+4 locations",4.2,"United States, Georgia, Atlanta
Product Management
01-Feb-2022
Ref #:
12468
LinkedIn Tag:
#LI-EAH How you'll help us Keep Climbing (overview & key responsibilities)
Do you enjoy translating data into actionable insights? Are you excited by the opportunity to help create new, personalized experiences at the world's best airline? Do you have a passion for creating and mining data, developing models, using statistical and visualization techniques, and helping leaders make data-driven decisions?
Deltas Mass Personalization Data Strategy and Analytics team is seeking a Data Scientist and Analytics Specialist to be responsible for conducting data analysis, creating analytical models and visualizations, and deriving insights that drive business decisions. The Data Scientist and Analytics Specialist will lead development of decision support tools by creating and integrating new customer-centric data sources and partnering with IT to create those data and tools.
The successful candidate will combine strong business acumen, technical skills, and understanding of Deltas customer journey to help drive decisions throughout the organization.
Primary Responsibilities :
Build Deltas customer data flywheel, working collaboratively across both Customer and Operational divisions to create new and reusable data-driven capabilities
Create and refine business intelligence solutions to inform data-driven business decisions, including developing data sets, queries, reports, dashboards that fit an evolving landscape
Deliver actionable insights to stakeholders using analytics visualization tools (i.e., Excel, Tableau, etc.) and, as needed, statistical and predictive modeling
Perform ad-hoc analysis and report results to leadership team
Standup analytics for Deltas new personalization experiences
Produce routine (weekly, monthly, etc.) performance reports as those experiences mature
Partner with IT to create enterprise-wide, customer and experience-centric data sets; act as the owner and subject matter expert of these new data sources What you need to succeed (minimum qualifications)
Bachelor's degree in Finance, Marketing, Business, Mathematics or related field or 1-3 years of relevant work experience required. Experience with data querying/modeling with SQL and with data visualization tools (e.g., Tableau) Must have superior analytical skills and be fluent in Microsoft Office software (Excel, Word, and PowerPoint). Must possess business acumen, analytical, oral, and written communication skills. Experience with analytic software tools such as SAS and Hyperion/Brio preferred. Candidate should be known for integrity, intelligence, and professional maturity Ability to deal with ambiguity in a fast-paced environment in a creative and innovation fashion Embraces diverse people, thinking and styles Consistently makes safety and security, of self and others, the priority Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc. What will give you a competitive edge (preferred qualifications)
At least 2+ years as a data engineer/scientist or related data-manipulation specialty with proven experience processing and creating insights from large data sets
Experience with at least one modern programming language (e.g., Python, Java, or R)
Knowledge of data modeling, data manipulation, and creating enterprise-wide data sets
Experience with statistical and predictive modeling
Master's degree and/or proven experience in data analytics, data science, or a related field strongly preferred. < Go back"
5,"data scientist (multiple openings) - Seattle, WA",Starbucks,,"Hybrid remote in Seattle, WA+2 locations",4.0,"Job Posting
: Jan 13, 2022
Job Posting End Date
: Feb 13, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Hybrid
Starbucks - Data Analytics
Now Brewing – Data Scientist! #tobeapartner
From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.
The data scientist will initially support COVID response at Starbucks. In this role you will leverage statistical analysis, forecasting methods, product development, data visualization, and storytelling. Day-to-day work will balance working as part of an enterprise-wide, cross-functional COVID response team, as well as evolving long-term infrastructure and resources that increase operational resiliency over time.
As a data scientist, you will…
Extract and transform data from multiple sources in preparation for exploratory data analysis, modeling, and reporting.
Leverage predictive and inferential advanced statistical and machine learning techniques to solve business problems, including methods to surface uncertainty intervals to provide increased context.
Transform model outputs into formats that are digestible to the end users through visualization, clear tables, and/or thoughtful presentations. Assist technical and non-technical end users in how to leverage and interpret the analysis.
We’d love to hear from people with:
Education: BS+ with concentration in quantitative discipline - Stats, Math, Comp Sci, Engineering, Econ, Quantitative Social Science, or similar discipline
Minimum of 3+ years industry experience in data science
Strong background working with predictive and statistical modeling, machine learning and strong expertise in all phases of the modeling pipeline
Experience building complex data sets from multiple data sources, both internally and externally.
Strong SQL, database and ETL skills required including cleaning and managing data.
Advanced competency and expertise in Python, R or some combination
Ability to apply knowledge of multidisciplinary business principles and practices to achieve successful outcomes in cross-functional projects and activities
Ability to educate others on statistical / machine learning methods
Self-starter, attention to details and results orientated, able to work under minimal guidance.
Proficient in communicating effectively with both technical and nontechnical stakeholders.
Experience on Cloud platforms such as Azure, AWS, preferred
Join us and be part of something bigger. Apply today!"
6,Data Scientist,Boston Children's Hospital,,"Boston, MA",4.1,"62470BR
Cardiology
Job Posting Description
The Data Scientist will be responsible for modeling complex scientific clinical data, discovering business/clinical/health insights and identifying opportunities through the use of statistical, algorithmic, mining, visualization, and machine learning techniques. In addition to advanced analytics skills, this role is also proficient at integrating and preparing large, varied datasets, architecting specialized databases and computing environment, and communicating results. Collaborate with colleagues from clinical, science, engineering and business backgrounds. Present proposals and results in a clear manner backed by data and coupled with actionable conclusions.
Principle Duties and Responsibilities:
Work on and create reports and interactive visualizations to fulfill requests using a variety of database and analytic technologies.
Participate in iterative discussions with a diverse community of users including clinicians, clinical researchers, and administrators, to assist with identifying their reporting needs.
Extract knowledge from the data gathered by various in-house digital health applications / databases and synthesize it to discover previously hidden insights that can provide a competitive advantage or address pressing business problems.
Lead an effort to establish a scalable and re-usable data science framework to handle heterogeneous data sources, and propose data analytical standards across projects.
Support the design, implementation, and maintenance of Extract, Transform, Load (ETL) processes to gather information from a variety of databases and datasets, including both internal and external sources.
Create and maintain content documentation, standard operating procedures and training materials.
Knowledge and Skills Required:
Work requires a Masters or PhD in a relevant field such as Computer Science, Machine Learning, or Data Science is strongly preferred. A minimum of 3-5 years relevant experience is required.
Experience with advanced analytics using Python and/or R languages.
Experience with building dynamic visualizations.
Specific experience with Tableau is a plus. Certifications are a plus.
Experience with SQL and familiarity with database models.
Experience with statistical / Machine Learning techniques through PyTorch or TensorFlow is a plus.
Capable of taking well-defined tasks and completing them in a reasonable time frame, and describing roadblocks and project status to technical lead and/or managers.
Strong analytical skills, with great attention to detail and accuracy.
Work requires communication skills in order to persuade and negotiate with others on important matters.
A strong focus on customer service.
Familiarity with Amazon AWS cloud platform and the tools and services it offers is a plus.
Experience working with EMR or healthcare data is a plus.
Clinical workflow/work experience is a plus.
Boston Children’s Hospital offers competitive compensation and unmatched benefits.
Status
Full-Time
Regular, Temporary, Per Diem
Regular
Standard Hours per Week
40
Office/Site Location
Boston
Job Category
Clinical"
7,Junior Data Scientist Apprentice,IBM,,"San Jose, CA 95101 (North Valley area)",3.9,"Introduction
As a Junior Data Scientist at IBM, you will work as part of a team to solve business-related problems using data-driven techniques. You will apply the scientific method to business scenarios, clean and prepare data for statistical and machine learning modeling, work with a variety of analytical algorithms to build models that better explain data relationships and predict potential scenarios, translate data insights into business value, and communicate results to difference audiences. You will also master different technologies for model deployment.
Your Role and Responsibilities
Throughout your apprenticeship, you’ll work closely with other experienced data scientists and mentors in an interactive, collaborative environment. You’ll learn the fundamentals of probability, statistics, linear algebra, data preparation, data modeling, and deployment of machine learning models. In addition, you will be introduced to additional concepts, skills and tools including Python, Hadoop, and Spark, presentation skills, communication skills, and you will apply these skills to prepare for and successfully obtain data science experience that may lead to certification as a Junior Data Scientist. IBM Certification as a Junior Data Scientist provides the credentials and career milestone that is earned through demonstrated usage of Data Science tools and methodology through case studies, business references and technical references. Our apprenticeship program will give you the opportunity to build your skills to grow your career as a Junior Data Scientist.
What is an Apprenticeship?
IBM Apprenticeship Program is an official registered apprenticeship recognized by the Department of Labor (DOL). Every graduate of a Registered Apprenticeship program receives a nationally-recognized credential from the DOL.
During the apprenticeship duration, you will be required to complete specific learning hours and on the job training that has been outlined to ensure you are developing the skills and competencies essential to the role. You will be able to learn and grow at your own pace, but we expect most apprentices will complete their learning within 24 months. Once you graduate and receive your certificate from our apprentice program, you will be eligible to apply to available full-time roles at IBM.
Who you are:
An apprenticeship is about learning. We’re seeking candidates who have the following requirements, but we know you’re just getting your career started, and we’re committed to helping you learn and grow. If you are a highly curious individual, with a passion for learning, and a love of mathematics and data, you’re exactly the type of candidate we’re looking for. Data scientists are inquisitive: exploring, asking questions, doing what if analysis, questioning existing assumptions and processes. They are analytically-minded, statistically and mathematically driven.
To be successful, you need:
Drive and eagerness to learn
Strong problem solving, critical thinking, organization, and communication skills
Ability to work independently and take initiative, as well as work collaboratively and contribute in a team environment as data science is a team sport
Ability to think analytically in solving problems
Curiosity, passion for learning, love for math, data, and analysis
What’s the experience?
As an apprentice, you'll join with other apprentices in a local cohort. You'll go through the program together, learning about IBM and the skills you'll be attaining throughout your apprenticeship. Then, you'll work with your managers and mentors to progress through your personal skills roadmap, learning and demonstrating new knowledge and competencies through hands-on application with your project teams. You'll complete milestones along the way, earning digital credentials to validate your skills, and will come back together with other apprentices to participate in on-going training and development focused on your professional and technical skills. Best of all, you are a contributing member of your team, putting forward ideas, taking on responsibilities and making choices about how you get the job done just like any other IBMer.
This position is not eligible for visa sponsorship.
Apprentices must be based in the work location(s) listed or willing to relocate at own expense. Relocation assistance is not available.
ncappx
Required Technical and Professional Expertise
Willingness to complete the requirements of the apprenticeship program
Some knowledge or experience in ONE or more of the following:
Java, JavaScript, PHP, C#, Objective-C, C/C++, Python, Ruby and/or functional languages (Haskell, Scala, F#, Clojure)
Preferred Technical and Professional Expertise
Python Programming knowledge
Advanced math and statistics coursework
About Business Unit
IBM’s Cloud and Cognitive software business is committed to bringing the power of IBM’s Cloud and Watson/AI technologies to life for our clients and ecosystem partners around the world. IBM provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software solutions for business and IT operations, development, data science, security, and management. Our experts and software capabilities help organizations develop applications once and deploy them anywhere, integrate security across the breadth of their IT estate, and automate operations with management visibility. With IBM, you also have access to new skills and methods, governance and management approaches, and a deep ecosystem of industry experts and partners.
This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.
Your Life @ IBM
Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.
Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.
It's time to define your career.
About IBM
IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.
Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.
At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.
Location Statement
IBM offers a competitive benefits program which may include medical, dental, vision, paid holidays, paid sick time, paid vacation, Employee Assistance Program (EAP), life insurance, IBM 401(k) Program and Employee Stock Purchase Plan.
IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.
We consider qualified applicants with criminal histories, consistent with applicable law.
Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
8,Data Scientist,The Coca-Cola Company,,"Plano, TX 75024+1 location",3.9,"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization.
Tasks:
Partner with business and technical stakeholders across the organization to translate challenging business problems into impactful data science solutions
Collaborate with data engineers, data stewards, product owners and business users to lead projects through the end-to-end data science lifecycle, including: data wrangling, exploratory analysis, hypothesis testing, modeling, rapid prototyping, business validation/testing, and operational deployment
Apply a variety of advanced analytical techniques, including: predictive modeling, machine learning, time series analysis, simulation and optimization
Leverage a diverse set of large structured and unstructured data to derive meaningful insights and information sets for modeling
Communicate complex analytical work to a variety of technical and non-technical stakeholders
Maintain expertise and awareness of emerging data science techniques, technologies and potential business applications for ML/AI
Build and maintain a robust library of data science solutions, reusable templates, algorithms and supporting code
Minimum Requirements:
Master’s degree in an analytical field such as Data Science, Computer Science, Applied Mathematics, or Operations Research. 5 additional years of related experience beyond the minimum required may be substituted in lieu of a degree.
1+ years working as a data scientist developing, optimizing and deploying production models
Working experience applying a range of statistical and modeling techniques including hypothesis testing, dimensionality reduction, supervised learning (classification and regression), forecasting, and unsupervised clustering
Working experience in scripting and programming with Python and SQL
Working experience in large-scale data wrangling with relational databases and/or Spark
Experience gathering, interpreting and translating business requirements
Strong aptitude for learning and applying new technologies related to Data Science and Data Management
Demonstrated ability to communicate complex analytical concepts and results at multiple levels to both technical and non-technical audiences
Experience with code version control platforms like GitHub, GitLab or Azure DevOps
Preferred Experience:
Experience with Natural Language Processing (NLP) problems such as text classification and named-entity recognition
Experience with the Microsoft Azure analytics stack (Cosmos DB, Azure Synapse, Azure ML, Databricks)
Experience with Model Risk Management and Responsible AI
Experience working in the CPG industry
Our Purpose and Growth Culture:
We are taking deliberate action to nurture an inclusive culture that is grounded in our company purpose, to refresh the world and make a difference. We act with a growth mindset, take an expansive approach to what’s possible and believe in continuous learning to improve our business and ourselves. We focus on four key behaviors – curious, empowered, inclusive and agile – and value how we work as much as what we achieve. We believe that our culture is one of the reasons our company continues to thrive after 130+ years. Visit Our Purpose and Vision to learn more about these behaviors and how you can bring them to life in your next role at Coca-Cola.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class. When we collect your personal information as part of a job application or offer of employment, we do so in accordance with industry standards and best practices and in compliance with applicable privacy laws."
9,Data Scientist,1-800-Flowers,,"Jericho, NY 11753+1 location",3.7,"Responsibilities include, but are not limited to:
Own the full Data Science life-cycle from conception to prototyping, testing, deploying, and measuring its overall business value
Design machine learning models to predict user behaviors and implement experiments to measure how they respond to our strategies.
Uncover insights in our user clickstream, pricing and product data to provide tactical guidance on how to act on findings.
Integrate your algorithmic solutions into our technical platforms to run at scale and directly change the customer experience on site
Scope concrete data science solutions to ambiguous business problems.
Develop personalized recommendation systems that leverage machine learning models to serve relevant content to customers
Drive measurable business value collaborating with cross functional business and technical teams
Partner with engineering to scale and deploy machine learning models"
